record_id,date,period,hospital_id,hospital_name,region,department,total_beds,operational_beds,occupied_beds_morning,admissions,discharges,transfers_in,transfers_out,emergency_arrivals,elective_surgeries,cancellations,staff_nurses,staff_doctors,avg_wait_time_min,median_wait_time_min,bed_turnover_time_hr,patients_left_without_seen,isolation_beds_used,source_system,notes
C2026_00045,2026-01-02,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,General Medicine,78,77,72,13,9,1,0,4,0,1,12,5,58.8,38.3,5.5,0,2,HIS_B,
C2026_00046,2026-01-02,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Surgical Ward,54,54,48,12,12,1,0,3,6,0,9,6,67.6,50.9,7.3,0,4,HIS_B,
C2026_00047,2026-01-02,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Paeds,40,38,33,8,,4,0,0,0,0,5,3,59.2,46.0,3.5,0,0,Manual_CSV,
C2026_00048,2026-01-02,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Maternity,46,43,39,5,3,0,3,0,0,0,7,2,62.4,41.1,6.1,0,3,BedBoard,
C2026_00049,2026-01-03,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,42,42,44,11,12,1,2,25,0,0,12,6,86.1,61.2,5.2,0,1,Manual_CSV,capacity reconciliation needed
C2026_00050,2026-01-03,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,30,29,27,5,0,2,2,0,0,2,13,4,56.2,39.2,6.6,0,0,BedBoard,
C2026_00051,2026-01-03,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Medical Ward,76,74,62,17,19,1,2,5,0,0,11,1,48.3,39.1,5.6,0,2,Manual_CSV,
C2026_00052,2026-01-03,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,52,43,3,0,4,1,1,6,1,8,5,63.4,40.5,5.6,0,3,HIS_B,
C2026_00053,2026-01-03,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,36,27,3,6,3,0,0,0,1,9,2,52.5,43.4,2.3,0,2,HIS_A,
C2026_00054,2026-01-03,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,35,3,6,2,1,4,0,0,6,4,38.4,27.8,5.4,0,1,HIS_B,
C2026_00055,2026-01-03,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,38,36,29,12,,0,3,40,0,0,8,7,96.4,73.5,4.8,4,2,BedBoard,
C2026_00056,2026-01-03,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,26,26,26,0,0,2,1,0,0,0,9,1,52.3,35.2,3.4,0,2,HIS_A,
C2026_00057,2026-01-03,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,General Medicine,72,72,62,9,3,3,2,0,0,0,13,5,30.3,23.6,4.8,0,4,BedBoard,
C2026_00058,2026-01-03,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,48,45,4,8,6,0,0,7,0,7,4,65.0,44.0,5.0,0,0,HIS_B,
C2026_00059,2026-01-03,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,32,19,3,5,4,4,0,0,1,1,2,10.7,8.9,2.0,0,1,BedBoard,
C2026_00060,2026-01-03,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,40,30,4,2,5,3,0,0,0,6,3,35.3,26.2,2.6,0,2,HIS_B,
C2026_00061,2026-01-03,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,35,34,27,14,16,0,3,27,0,0,8,4,106.2,89.2,2.7,0,1,HIS_A,
C2026_00062,2026-01-03,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,ICU,23,22,20,3,3,1,5,0,0,0,12,4,67.3,46.6,5.1,0,1,Manual_CSV,
C2026_00063,2026-01-03,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,General Medicine,69,69,59,16,17,4,3,2,0,0,9,2,36.3,26.4,2.3,0,5,BedBoard,
C2026_00064,2026-01-03,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Surgery,45,45,35,4,9,3,1,1,7,1,6,2,48.7,31.0,3.8,0,2,Manual_CSV,
C2026_00065,2026-01-03,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Pediatrics,31,29,17,6,2,3,1,2,0,0,3,1,45.3,32.1,5.1,0,2,HIS_A,
C2026_00066,2026-01-03,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Maternity,37,37,23,4,7,2,1,0,0,0,3,2,19.5,16.0,4.1,0,3,HIS_B,
C2026_00067,2026-01-03,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Emergency,44,43,35,10,17,1,2,51,0,1,12,5,78.9,61.4,2.6,3,0,HIS_A,
C2026_00068,2026-01-03,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,ICU,32,30,31,0,0,3,1,1,0,0,16,5,43.0,29.7,5.2,0,1,HIS_B,
C2026_00069,2026-01-03,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,General Medicine,78,77,70,19,19,3,1,3,0,0,14,5,54.3,37.7,6.6,0,5,HIS_A,
C2026_00070,2026-01-03,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Surgery,54,52,47,4,6,1,1,4,22,2,8,7,60.8,48.1,7.2,0,3,HIS_B,
C2026_00071,2026-01-03,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Pediatrics,40,39,27,4,3,3,2,3,0,0,6,5,25.7,20.3,1.8,0,2,HIS_A,
C2026_00072,2026-01-03,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Maternity,46,46,37,8,5,1,3,0,0,0,4,2,24.4,19.0,2.1,0,3,Manual_CSV,
C2026_00073,2026-01-04,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,42,41,35,15,14,1,3,19,0,0,7,4,97.6,63.7,4.7,2,1,Manual_CSV,
C2026_00074,2026-01-04,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,30,29,26,0,1,2,3,0,0,0,14,2,48.5,40.3,3.7,0,0,HIS_A,
C2026_00075,2026-01-04,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,76,76,57,16,15,5,2,3,0,0,6,3,40.8,25.6,3.8,0,5,Manual_CSV,
C2026_00076,2026-01-04,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,52,41,4,0,4,2,1,12,2,9,3,47.2,38.5,4.3,0,4,HIS_A,
C2026_00077,2026-01-04,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,37,27,8,10,2,1,0,0,0,5,2,45.6,28.8,4.4,0,0,BedBoard,system refresh delay
C2026_00078,2026-01-04,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,36,3,5,3,4,0,0,1,5,2,35.9,27.7,4.6,0,2,BedBoard,
C2026_00079,2026-01-04,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,38,38,26,14,9,0,0,24,0,0,10,2,80.4,65.7,5.7,2,0,BedBoard,
C2026_00080,2026-01-04,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,26,25,24,0,0,2,2,1,0,0,10,3,71.9,60.4,5.7,0,1,HIS_B,
C2026_00081,2026-01-04,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,General Medicine,72,72,61,13,22,2,2,1,0,0,9,4,45.0,34.5,6.1,0,0,Manual_CSV,
C2026_00082,2026-01-04,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,47,40,7,6,0,2,2,14,1,11,2,56.5,39.6,3.3,0,1,HIS_B,
C2026_00083,2026-01-04,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,34,23,6,6,4,5,2,0,1,1,1,41.4,33.8,4.0,0,2,Manual_CSV,
C2026_00084,2026-01-04,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,40,31,7,9,5,1,0,0,0,6,3,46.1,31.0,3.5,0,0,HIS_A,
C2026_00085,2026-01-04,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,35,35,31,13,15,3,0,27,0,0,9,5,94.2,61.1,6.6,0,2,HIS_A,
C2026_00086,2026-01-04,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,ICU,23,22,20,0,0,3,3,0,0,1,6,5,59.4,46.2,4.0,0,2,HIS_A,
C2026_00087,2026-01-04,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,General Medicine,69,68,59,16,21,2,0,0,0,0,10,4,66.8,49.0,5.5,0,2,Manual_CSV,
C2026_00088,2026-01-04,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Surgery,45,43,35,7,3,3,3,3,4,1,9,2,74.6,62.9,5.8,0,3,Manual_CSV,
C2026_00089,2026-01-04,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Pediatrics,31,29,21,2,9,2,4,0,0,0,3,3,31.6,26.3,4.9,0,2,BedBoard,system refresh delay
C2026_00090,2026-01-04,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Maternity,37,34,21,4,2,5,0,0,0,2,4,2,24.6,19.1,5.2,0,0,HIS_B,
C2026_00091,2026-01-04,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Emergency,44,43,41,16,17,3,3,31,0,1,13,6,95.3,63.7,5.8,1,3,HIS_A,
C2026_00092,2026-01-04,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,ICU,32,31,32,8,4,3,0,0,0,0,14,6,58.3,48.4,3.8,0,2,BedBoard,
C2026_00093,2026-01-04,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,,78,77,74,9,11,2,3,2,0,1,13,6,29.1,21.8,6.0,0,6,HIS_A,
C2026_00094,2026-01-04,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Surgical Ward,54,54,44,5,9,4,1,0,12,0,11,4,64.3,47.4,3.3,0,3,BedBoard,
C2026_00095,2026-01-04,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Paeds,40,39,34,0,0,2,1,2,0,0,7,2,,25.8,6.0,0,1,HIS_B,
C2026_00096,2026-01-04,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Maternity,46,45,40,5,0,2,1,0,0,0,6,2,37.7,31.5,4.5,0,0,Manual_CSV,
C2026_00097,2026-01-05,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,42,41,36,10,13,2,1,43,0,0,11,6,105.6,85.9,3.6,5,1,Manual_CSV,
C2026_00098,2026-01-05,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,30,29,28,0,0,5,2,1,0,1,10,6,50.3,38.5,6.1,0,2,Manual_CSV,
C2026_00099,2026-01-05,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,76,75,71,19,22,1,2,0,0,0,13,5,62.5,38.9,5.0,0,2,BedBoard,
C2026_00100,2026-01-05,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,52,43,6,0,3,3,0,10,0,11,4,33.1,24.4,2.2,0,3,Manual_CSV,
C2026_00101,2026-01-05,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,38,31,2,6,1,5,1,0,0,8,5,52.9,43.5,5.3,0,1,Manual_CSV,
C2026_00102,2026-01-05,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,38,0,2,1,2,4,0,0,4,2,53.8,35.9,6.0,0,3,BedBoard,
C2026_00103,2026-01-05,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,38,38,33,12,9,3,1,28,0,0,9,6,97.4,82.7,3.0,4,2,HIS_A,
C2026_00104,2026-01-05,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,26,26,26,4,2,2,5,0,0,0,10,2,,60.4,5.4,0,1,Manual_CSV,
C2026_00105,2026-01-05,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,General Medicine,72,72,66,18,17,5,1,2,0,0,10,4,52.7,34.7,7.5,0,4,HIS_B,
C2026_00106,2026-01-05,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,48,42,8,18,5,4,3,14,1,7,3,69.8,46.1,1.7,0,1,HIS_A,
C2026_00107,2026-01-05,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,32,27,2,5,4,4,1,0,1,4,1,31.6,26.7,5.6,0,0,HIS_B,
C2026_00108,2026-01-05,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,40,33,4,10,3,2,0,0,0,4,1,37.5,30.6,4.9,0,2,BedBoard,
C2026_00109,2026-01-05,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,35,35,29,7,7,1,1,33,0,0,10,5,72.8,56.6,3.6,1,1,HIS_A,
C2026_00110,2026-01-05,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,ICU,23,21,19,1,1,4,2,0,0,1,6,1,56.6,39.7,6.1,0,1,BedBoard,
C2026_00111,2026-01-05,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,General Medicine,69,69,72,10,7,4,3,0,0,0,7,5,91.5,56.8,7.7,0,1,HIS_B,
C2026_00112,2026-01-05,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Surgery,45,44,38,2,6,1,2,0,0,0,8,4,66.6,55.6,4.6,0,2,Manual_CSV,
C2026_00113,2026-01-05,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Pediatrics,31,31,25,6,5,2,2,0,0,2,6,2,42.2,29.4,3.2,0,2,BedBoard,
C2026_00114,2026-01-05,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Maternity,37,37,29,11,13,1,2,3,0,0,4,2,75.8,59.7,3.9,0,3,HIS_A,
C2026_00115,2026-01-05,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,,44,44,41,14,11,2,3,18,0,0,14,6,105.1,71.8,3.3,3,1,HIS_A,
C2026_00116,2026-01-05,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Intensive Care,32,30,32,1,0,4,1,2,0,0,15,4,70.6,46.3,5.9,0,2,HIS_A,
C2026_00117,2026-01-05,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,General Medicine,78,77,74,14,17,3,2,3,0,0,9,5,67.6,43.8,2.9,0,1,BedBoard,
C2026_00118,2026-01-05,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Surgery,54,53,50,5,9,2,0,1,10,2,7,4,52.2,41.4,6.0,0,4,HIS_B,
C2026_00119,2026-01-05,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Pediatrics,40,37,33,6,3,5,2,0,0,0,4,2,81.0,56.7,5.7,0,2,BedBoard,
C2026_00120,2026-01-05,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Maternity,46,46,39,12,8,1,1,1,0,0,7,4,44.0,29.2,3.6,0,2,BedBoard,
C2026_00121,2026-01-06,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,42,42,42,12,10,4,3,43,0,0,12,6,96.3,73.1,4.4,0,2,BedBoard,
C2026_00122,2026-01-06,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,30,30,32,1,1,5,3,0,0,1,14,4,78.3,55.0,4.7,0,1,HIS_A,
C2026_00123,2026-01-06,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,76,76,72,10,15,5,0,2,0,3,11,4,62.1,44.3,5.9,0,2,HIS_B,
C2026_00124,2026-01-06,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,52,51,9,7,2,2,4,8,2,10,6,80.2,54.7,3.2,0,3,HIS_A,
C2026_00125,2026-01-06,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,37,30,5,6,2,3,1,0,0,4,1,71.3,44.5,3.2,0,2,HIS_A,manual entry
C2026_00126,2026-01-06,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,39,3,0,2,3,0,0,0,4,1,67.9,52.4,3.8,0,3,Manual_CSV,
C2026_00127,2026-01-06,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,38,38,35,10,8,6,2,24,0,0,15,4,112.3,75.2,4.5,2,1,BedBoard,
C2026_00128,2026-01-06,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,26,26,25,1,-3,4,2,1,0,0,12,3,84.7,72.2,5.6,0,0,HIS_B,possible extraction error
C2026_00129,2026-01-06,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,General Medicine,72,72,65,10,8,5,0,2,0,1,10,6,42.0,26.7,4.3,0,3,HIS_A,
C2026_00130,2026-01-06,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,47,37,6,7,1,2,2,8,1,7,2,59.4,48.4,4.5,0,3,BedBoard,
C2026_00131,2026-01-06,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,34,24,2,1,1,2,0,0,0,3,2,51.7,34.1,2.6,0,0,HIS_B,
C2026_00132,2026-01-06,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,38,30,2,2,2,0,2,0,1,1,3,55.2,43.5,4.4,0,2,HIS_B,
C2026_00133,2026-01-06,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,35,33,27,12,13,5,2,30,0,0,8,4,85.7,54.8,5.5,0,0,HIS_A,
